Tool,Authors,Transformations,Notes,Integrations,Link to Implementation,License
[clausy](https://github.com/ekuiter/clausy),Elias Kuiter,"Total Tseitin; Total Distributive","accepts any [.sat](https://github.com/ekuiter/clausy/tree/main/meta/satformat.pdf), [KConfigReader](https://github.com/ckaestne/kconfigreader) .model, or [FeatureIDE](https://github.com/FeatureIDE/FeatureIDE)-compatible file for transformation","CLI; Rust; [torte](https://github.com/ekuiter/torte)",[formula.rs](https://github.com/ekuiter/clausy/blob/main/src/core/formula.rs),LGPL v3
[FeatureIDE](https://github.com/FeatureIDE/FeatureIDE),"Thomas Thüm, Sebastian Krieter, and others",Total Distributive,,"GUI; Java; [torte](https://github.com/ekuiter/torte-FeatJAR/blob/main/src/main/java/TransformToDIMACSWithFeatureIDE.java)",[CNFDistributiveLawTransformer.java](https://github.com/FeatureIDE/FeatureIDE/blob/develop/plugins/de.ovgu.featureide.fm.core/src/org/prop4j/CNFDistributiveLawTransformer.java),LGPL v3
[FeatJAR](https://github.com/FeatureIDE/FeatJAR),"Sebastian Krieter, Elias Kuiter, and Thomas Thüm","Total Distributive; Partial Tseitin (`MAXIMUM_NUMBER_OF_LITERALS` = `Integer.MAX_VALUE`); Partial Plaisted–Greenbaum (NNF-based)",,"CLI; Java; [torte](https://github.com/ekuiter/torte-FeatJAR/blob/main/src/main/java/TransformToDIMACSWithFeatJAR.java)","[FeatJAR-formula](https://github.com/FeatureIDE/FeatJAR-formula); [DistributiveTransformer.java](https://github.com/FeatureIDE/FeatJAR-formula/blob/main/src/main/java/de/featjar/formula/computation/DistributiveTransformer.java); [TseitinTransformer.java](https://github.com/FeatureIDE/FeatJAR-formula/blob/main/src/main/java/de/featjar/formula/computation/TseitinTransformer.java)",LGPL v3
[Z3](https://github.com/Z3Prover/z3),"Nikolaj Bjørner, Lev Nachmanson, and Leonardo de Moura (Microsoft Research)",Partial Tseitin (`m_distributivity_blowup` = 32),"can not only transform any Boolean formula, but also general SMT problems into CNF","CLI; Python; [JavaSMT](https://github.com/sosy-lab/java-smt); [KClause](https://github.com/paulgazz/kmax/blob/master/kmax/kclause); [FeatJAR](https://github.com/FeatureIDE/FeatJAR-formula-analysis-javasmt); torte ([1](https://github.com/ekuiter/torte/blob/main/src/docker/z3/smt2dimacs.py), [2](https://github.com/ekuiter/torte-FeatJAR/blob/main/src/main/java/TransformToSMTWithZ3.java))","[Website](https://www.microsoft.com/en-us/research/project/z3-3/); [tseitin_cnf_tactic.cpp](https://github.com/Z3Prover/z3/blob/master/src/tactic/core/tseitin_cnf_tactic.cpp)",MIT
[KConfigReader](https://github.com/ckaestne/kconfigreader),Christian Kästner,Partial Plaisted–Greenbaum (16; NNF-based),cannot transform arbitrary Boolean formulas (restriction lifted in torte),"Scala; [torte](https://github.com/ekuiter/torte/blob/main/src/docker/kconfigreader/TransformIntoDIMACS.scala)","[TypeChef](https://github.com/ckaestne/TypeChef); [SATFeatureExpr.scala](https://github.com/ckaestne/TypeChef/blob/master/FeatureExprLib/src/main/scala/de/fosd/typechef/featureexpr/sat/SATFeatureExpr.scala)",LGPL v3
[KClause](https://github.com/jeho-oh/Kclause_Smarch),"Paul Gazzillo and Jeho Oh",Total Distributive,"cannot transform arbitrary Boolean formulas; has been deprecated and [rewritten](https://github.com/paulgazz/kmax/blob/master/kmax/kclause) to use Z3 instead",CLI,[dimacs.py](https://github.com/jeho-oh/Kclause_Smarch/blob/master/Kclause/dimacs.py#L300),GPL v3
[ConfigFix](https://github.com/isselab/configfix),"Patrick Franz, Jude Gyimah, Ole Schürks (and others)",Total Tseitin (for all non-CNF subformulas),cannot transform arbitrary Boolean formulas,"CLI; [torte](https://github.com/ekuiter/torte-ConfigFix/tree/main) (no transformation)",[cf_utils.c](https://github.com/ekuiter/torte-ConfigFix/blob/main/scripts/kconfig/cf_utils.c#L477),GPL v2
[LogicNG](https://github.com/logic-ng/LogicNG),Christoph Zengler (BooleWorks),"Total Distributive; Partial Tseitin (`boundaryForFactorization` = 12); Partial Plaisted–Greenbaum (NNF-based); [Enumeration](https://github.com/logic-ng/LogicNG/blob/master/src/main/java/org/logicng/transformations/cnf/CanonicalCNFEnumeration.java); [BDDs](https://github.com/logic-ng/LogicNG/blob/master/src/main/java/org/logicng/transformations/cnf/BDDCNFTransformation.java)",Multiple CNF strategies; Plaisted–Greenbaum not polarity-based,Java,"[Website](https://logicng.org/); [CNFFactorization.java](https://github.com/logic-ng/LogicNG/blob/master/src/main/java/org/logicng/transformations/cnf/CNFFactorization.java); [TseitinTransformation.java](https://github.com/logic-ng/LogicNG/blob/master/src/main/java/org/logicng/transformations/cnf/TseitinTransformation.java); [PlaistedGreenbaumTransformation.java](https://github.com/logic-ng/LogicNG/blob/master/src/main/java/org/logicng/transformations/cnf/PlaistedGreenbaumTransformation.java)",Apache 2.0
[Booleguru](https://gitlab.sai.jku.at/booleguru/booleguru),Maximilian Heisinger,Total Tseitin; Total Plaisted–Greenbaum (polarity-based),Plaisted–Greenbaum is polarity-based; negation normal form not required,"CLI; Python","[Website](https://booleguru.pages.sai.jku.at/booleguru/); [tseitin_impl.hpp](https://gitlab.sai.jku.at/booleguru/booleguru/-/blob/main/src/transform/include/booleguru/transform/tseitin_impl.hpp); [plaisted_greenbaum_impl.hpp](https://gitlab.sai.jku.at/booleguru/booleguru/-/blob/main/src/transform/include/booleguru/transform/plaisted_greenbaum_impl.hpp)",MIT
[PySAT](https://github.com/pysathq/pysat),"Alexey Ignatiev, Joao Marques-Silva, and Antonio Morgado",Total Tseitin,,Python,"[Website](https://pysathq.github.io/); [formula.py](https://github.com/pysathq/pysat/blob/master/pysat/formula.py)",MIT
[Limboole](https://fmv.jku.at/limboole/),"Armin Biere and Martina Seidl",Total Tseitin,,CLI,[v1.2](https://fmv.jku.at/limboole/limboole1.2.tgz),MIT
[bool2cnf](https://github.com/tkren/bool2cnf),"Tatsuhiro Tsuchiya and Thomas Krennwallner",Total Plaisted–Greenbaum (polarity-based),hardcoded variable limit (10000),CLI,[trans.c](https://github.com/tkren/bool2cnf/blob/master/trans.c),FreeBSD
