System,Description,#Commits,#Releases,First Release,Last Release,System Software,Implementation,Notes,Row Updated,References
"[axTLS](https://axtls.sourceforge.net/) ([SourceForge](https://sourceforge.net/projects/axtls/files/), [SVN](https://svn.code.sf.net/p/axtls/code/trunk/), [Git mirror](https://github.com/ekuiter/axTLS))","""The axTLS embedded SSL project is a highly configurable client/server TLSv1.2 library designed for platforms with small memory requirements. It comes with a small HTTP/HTTPS server and additional test tools."" ([source](https://axtls.sourceforge.net/))",242,31,2006-06-30 (1.00),2019-03-15 (2.1.5),intended to be built for platforms with limited resources ([source](https://axtls.sourceforge.net/)),LKC (in-tree),"""The build mechanism uses mconf which is tool similar to that used with BusyBox and the Linux kernel' ([source](https://axtls.sourceforge.net/faq.htm))",September 2026,"[BSL+:TSE13](https://doi.org/10.1109/TSE.2013.34) ([models](https://github.com/DanOpcode/linux-variability-analysis-tools.formulas)), [SBK+:SPLC24](https://doi.org/10.1145/3646548.3672590) ([models](https://github.com/SoftVarE-Group/feature-model-benchmark/tree/master/feature_models/original/systems_software)), [KTM+:ESECFSE17](https://doi.org/10.1145/3106237.3106252) ([models](https://github.com/AlexanderKnueppel/is-there-a-mismatch/tree/master/Data/LargeFeatureModels)), [torte](https://github.com/ekuiter/torte/tree/main/src/systems)"
"[barebox](https://www.barebox.org/) ([Git](https://github.com/barebox/barebox.git))","""A bootloader that follows the tradition of Das U-Boot, while adopting modern design ideas from the Linux kernel."" ([source](https://github.com/barebox/barebox/blob/master/README.rst))",30938,224,2009-12-23 (v2009.12.0),2026-08-24 (v2026.08.0),"""barebox aims to be a versatile and flexible bootloader, not only for booting embedded Linux systems, but also for initial hardware bringup and development. barebox is highly configurable to be suitable as a full-featured development binary as well as for lean production systems. Just like busybox is the Swiss Army Knife for embedded Linux, barebox is the Swiss Army Knife for bare metal, hence the name."" ([source](https://barebox.org/))",LKC (in-tree),"occasionally re-synced to the Linux implementation (currently [6.18](https://github.com/barebox/barebox/commit/243abef11b8f69e2595ce55e64786c99c5d8e8fe))",September 2026,[torte](https://github.com/ekuiter/torte/tree/main/src/systems)
"[Buildroot](https://buildroot.org/) ([Git](https://gitlab.com/buildroot.org/buildroot/), [Git mirror](https://github.com/buildroot/buildroot))","""Buildroot is a simple, efficient and easy-to-use tool to generate embedded Linux systems through cross-compilation."" ([source](https://buildroot.org/))\n ""Buildroot is a set of Makefiles and patches that makes it easy generate a cross-compilation toolchain and root filesystem for your target Linux system using the uClibc C library."" ([source](https://buildroot.org/news.html))",83393,71,"[2001](https://en.wikipedia.org/wiki/Buildroot), 2009-02-12 (Git: 2009.02)",2026-09-04 (2026.08),"""Buildroot is useful mainly for people working with small or embedded systems."" ([source](https://buildroot.org/news.html)) ""making it a first class citizen of uclibc.org and busybox.net"" it is a consumer of these projects: BusyBox, uClibc, Linux kernel, Barebox, U-Boot (and therefore may be considered a multi product line)",LKC (in-tree),"""This is a copy of the kconfig code in the kernel (.currently 4.17-rc2) tweaked to suit Buildroot."" ([source](https://github.com/buildroot/buildroot/tree/master/support/kconfig)) ""Buildroot has a nice configuration tool similar to the one you can find in the Linux kernel or in BusyBox."" ([source](https://buildroot.org/downloads/manual/manual.html)) ""Very easy to set up, thanks to its menuconfig, gconfig, and xconfig configuration interfaces, familiar to all embedded Linux developers"" ([source](https://linuxgizmos.com/buildroot-project-reports-progress-releases-update/)) build route includes a set of patches to apply to LKC ([source](https://github.com/buildroot/buildroot/tree/master/support/kconfig/patches)) ([source](https://youtu.be/0G_yJ50RA3I?t=287))",September 2026,"[BSL+:TSE13](https://doi.org/10.1109/TSE.2013.34) ([models](https://github.com/DanOpcode/linux-variability-analysis-tools.formulas)), [SBK+:SPLC24](https://doi.org/10.1145/3646548.3672590) ([models](https://github.com/SoftVarE-Group/feature-model-benchmark/tree/master/feature_models/original/systems_software)), [torte](https://github.com/ekuiter/torte/tree/main/src/systems)"
"[BusyBox](http://busybox.net/) ([Git](https://git.busybox.net/busybox/), slightly less up-to-date [Git mirror](https://github.com/mirror/busybox))","""BusyBox combines tiny versions of many common UNIX utilities into a single small executable. It provides replacements for most of the utilities you usually find in GNU fileutils, shellutils, etc."" ([source](https://busybox.net/about.html))\n ""BusyBox is a set of command-line utilities developed with the goal of keeping its size as small as possible. To that end, all unnecessary options and code are ruthlessly cut out, and the entire command set is implemented by a single, multipurpose executable. BusyBox is found in a number of embedded environments; chances are it is running on your wireless router, for example."" ([source](https://lwn.net/Articles/202106/))",18276,144,"[1995](https://lwn.net/Articles/202106/), 1999-10-05 (Git: 0_29alpha2)",2026-05-13 (1.38.0),"""BusyBox provides a fairly complete environment for any small or embedded system."" ""BusyBox has been written with size-optimization and limited resources in mind."" ([source](https://busybox.net/about.html)) it is intended to be cross compiled ([source](https://busybox.net/FAQ.html)), ""minimize run-time memory usage (heap and stack), run fast""",LKC (in-tree),"""Busybox uses the same ""menuconfig"" infrastructure as the Linux kernel"" ([source](https://busybox.net/FAQ.html))",September 2026,"[BSL+:TSE13](https://doi.org/10.1109/TSE.2013.34) ([models](https://github.com/DanOpcode/linux-variability-analysis-tools.formulas)), [SBK+:SPLC24](https://doi.org/10.1145/3646548.3672590) ([models](https://github.com/SoftVarE-Group/feature-model-benchmark/tree/master/feature_models/original/systems_software)), [KTM+:ESECFSE17](https://doi.org/10.1145/3106237.3106252) ([models](https://github.com/AlexanderKnueppel/is-there-a-mismatch/tree/master/Data/LargeFeatureModels)), [torte](https://github.com/ekuiter/torte/tree/main/src/systems)"
"[coreboot](https://www.coreboot.org/) ([Git](https://review.coreboot.org/coreboot.git), [Git mirror](https://github.com/coreboot/coreboot))","""coreboot is a Free Software project aimed at replacing the proprietary firmware (BIOS/UEFI) found in most computers. coreboot performs the required hardware initialization to configure the system, then passes control to a different executable, referred to in coreboot as the payload. Most often, the primary function of the payload is to boot the operating system (OS)." ([source](https://github.com/coreboot/coreboot/blob/master/README.md))",64951,38,2010-02-08 (4.0),2026-06-18 (26.06),"""coreboot is perfect for a wide variety of situations. It can be used for specialized applications that run directly in the firmware, running operating systems from flash, loading custom bootloaders, or implementing firmware standards, like PC BIOS services or UEFI."" ([source](https://github.com/coreboot/coreboot/blob/master/README.md)) ""coreboot is an alternative to BIOS and deals mainly with motherboards"" ([source](https://dl.acm.org/doi/pdf/10.1145/3551349.3556899)) ""Tesla Is Making Use Of The Open-Source Coreboot Within Their Electric Vehicles"" ([source](https://www.phoronix.com/news/Tesla-Uses-Coreboot))",LKC (in-tree),"""This is coreboot's copy of kconfig which tracks Linux as upstream but comes with a few patches for portability but also a few semantic changes."" ([source](https://github.com/coreboot/coreboot/tree/master/util/kconfig)) applies [patches](https://github.com/coreboot/coreboot/tree/master/util/kconfig/patches) to LKC",September 2026,"[BSL+:TSE13](https://doi.org/10.1109/TSE.2013.34) ([models](https://github.com/DanOpcode/linux-variability-analysis-tools.formulas)), [SBK+:SPLC24](https://doi.org/10.1145/3646548.3672590) ([models](https://github.com/SoftVarE-Group/feature-model-benchmark/tree/master/feature_models/original/systems_software)), [torte](https://github.com/ekuiter/torte/tree/main/src/systems)"
"[crosstool-NG](https://crosstool-ng.github.io/) ([Git](https://github.com/crosstool-ng/crosstool-ng.git))","""Crosstool-NG is a versatile (cross) toolchain generator. It supports many architectures and components and has a simple yet powerful menuconfig-style interface."" ([source](https://crosstool-ng.github.io/))",6003,86,2007-04-10 (crosstool-ng-0.0.1),2026-08-23 (crosstool-ng-1.29.0),"""Toolchains are an essential component in a software development project. It will compile, assemble and link the code that is being developed."" ([source](https://crosstool-ng.github.io/docs/introduction/))",LKC (in-tree),"occasionally re-synced to the Linux implementation (currently [5.9](https://github.com/crosstool-ng/crosstool-ng/commit/d0e328c8ad357a705b6218e20f74ec1ec1869e8d))",September 2026,[torte](https://github.com/ekuiter/torte/tree/main/src/systems)
"[EmbToolkit](https://embtoolkit.org/) ([FTP](ftp://ftp.embtoolkit.org/embtoolkit.org/embtk), incomplete [Git mirror](https://github.com/ndmsystems/embtoolkit), up-to-date [Git mirror](https://github.com/ekuiter/embtoolkit), broken [Git](git://git.embtoolkit.org/embtoolkit.git))","""EmbToolkit eases setup of necessary tools for embedded linux system development, including the root filesystem generation. It generates toolchain/SDK based on traditional GNU tools (GCC, Binutils, etc.) and/or the newer clang/llvm compiler infrastructure."" ([source](https://embtoolkit.org/))",2551,11,2012-10-28 (0.1.0),2017-06-07 (1.9.0),"not run itself on an embedded system, but assists embedded development ""EmbToolkit will be handy if you want to develop applications and generate firmware for a highly customized/specialized embedded linux product."" ([source](https://embtoolkit.org/))",LKC (in-tree),"""Easy configuration interface through menuconfig or xconfig, like the linux kernel."" ([source](https://embtoolkit.org/)) ""foo.kconfig: a configuration file which uses the simple linux kernel kconfig language"" ""This file syntax is the same as linux kconfig"" ([source](https://embtoolkit.org/userguide.html))",September 2026,"[BSL+:TSE13](https://doi.org/10.1109/TSE.2013.34) ([models](https://github.com/DanOpcode/linux-variability-analysis-tools.formulas)), [SBK+:SPLC24](https://doi.org/10.1145/3646548.3672590) ([models](https://github.com/SoftVarE-Group/feature-model-benchmark/tree/master/feature_models/original/systems_software)), [KTM+:ESECFSE17](https://doi.org/10.1145/3106237.3106252) ([models](https://github.com/AlexanderKnueppel/is-there-a-mismatch/tree/master/Data/LargeFeatureModels)), [torte](https://github.com/ekuiter/torte/tree/main/src/systems)"
"[Entware](https://github.com/Entware/Entware/wiki) ([Git](https://github.com/Entware/Entware.git))","Entware is a software repository for embedded devices which use the Linux kernel, such as routers and network-attached storage (NAS) devices."" ([source](https://github.com/Entware/Entware/wiki))",3396,none (trunk-based development),2015-10-17,2026-08-31,"""Currently different Entware versions are widely used in routers, NASes, Android devices and other hardware that uses Linux kernel."" ([source](https://bin.entware.net/Readme.txt)) ""Ultimate repo for embedded devices"" ([source](https://github.com/Entware/entware/))",LKC (in-tree),"occasionally re-synced to OpenWrt's implementation (currently [6.6.16](https://github.com/Entware/Entware/blob/969c703e6fd8b2ad84d82affaeb14b48d1fcb105/scripts/config/README))",September 2026,[torte](https://github.com/ekuiter/torte/tree/main/src/systems)
"[Freetz-NG](https://freetz-ng.github.io/freetz-ng/) ([Git](https://github.com/Freetz-NG/freetz-ng/), [old version](https://freetz.github.io/wiki/index.en.html), old [Git](https://github.com/Freetz/freetz))","Freetz-NG (a fork of Freetz) is a firmware-extension (modification) for the AVM Fritz!Box and devices with identical hardware. The original firmware from the manufacturer is extended with new functions and programs which may be selected by the user. Freetz-NG uses trunk-based development - there are some tags and inconsistent old releases, but they do not cover the entire history. ([source](https://freetz-ng.github.io/freetz-ng/NEWS/))",29329,none (trunk-based development),"2007-02-06 (Freetz: SVN), 2019-01-30 (Freetz-NG)","2021-05-26 (Freetz), 2026-09-12 (Freetz-NG)","Firmware: ""Freetz is a toolbox for developers and experienced users to build a modified firmware based on the original firmware for the DSL/LAN/WLAN/VoIP-Routers ​AVM Fritz!Box and ​T-Com Speedport (identical hardware) and to transfer this firmware to the device."" ([source](https://freetz.github.io/wiki/FAQ.en.html)); includes a copy of the feature model of BusyBox and other systems, as well as many own features (and thus may be considered a multi product line)",LKC (in-tree),"""The description comes from the documentation of the Linux kernel, from which we (and other open-source projects) have borrowed this type of MK and the necessary tools."" ([source](https://freetz.github.io/wiki/help/howtos/development/menuconfig.html)); ""To configure Freetz it makes use of conf/mconf, which some or other already knows from the linux kernel configuration"" ([source](https://freetz.github.io/wiki/FAQ.en.html))",September 2026,"[BSL+:TSE13](https://doi.org/10.1109/TSE.2013.34) ([models](https://github.com/DanOpcode/linux-variability-analysis-tools.formulas)), [SBK+:SPLC24](https://doi.org/10.1145/3646548.3672590) ([models](https://github.com/SoftVarE-Group/feature-model-benchmark/tree/master/feature_models/original/systems_software)), [torte](https://github.com/ekuiter/torte/tree/main/src/systems)"
"[L4Re](https://l4re.org/) microkernel (aka Fiasco, [Git](https://github.com/kernkonzept/fiasco))","""L4Re is an operating system framework that allows you to build custom operating system and hypervisor solutions."" ([source](https://l4re.org/overview/))\n ""Architecturally, L4Re is a microkernel-based operating system."" ([source](https://l4re.org/overview/architecture.html))",4978,none (trunk-based development),2017-09-26,2026-09-01,"""The L4Re Microkernel is both suitable for big and complex systems as well as small, embedded applications."" ([source](https://os.inf.tu-dresden.de/fiasco/)) multi-architecture support like Linux ([source](https://os.inf.tu-dresden.de/fiasco/features.html)) intended for safety and security critical systems ([source](https://l4re.org/overview/usecases.html)) ""L4 is widely deployed. One variant, OKL4 from Open Kernel Labs, shipped in billions of mobile devices"" ([source](https://en.wikipedia.org/wiki/L4_microkernel_family))",LKC (in-tree),"""kconfig taken from vanilla Linux 6.17, and slightly patched."" ([source](https://github.com/kernkonzept/fiasco/tree/master/tool/kconfig))",September 2026,"[BSL+:TSE13](https://doi.org/10.1109/TSE.2013.34) ([models](https://github.com/DanOpcode/linux-variability-analysis-tools.formulas)), [SBK+:SPLC24](https://doi.org/10.1145/3646548.3672590) ([models](https://github.com/SoftVarE-Group/feature-model-benchmark/tree/master/feature_models/original/systems_software)), [torte](https://github.com/ekuiter/torte/tree/main/src/systems)"
