Year,Tool,Authors,License,Integrations,CNF Transformations,Notes,References
2002-20,[Limboole](https://fmv.jku.at/limboole/),"Armin Biere, Martina Seidl",MIT,"CLI, C",Total Tseitin,,[v1.2](https://fmv.jku.at/limboole/limboole1.2.tgz)
2010-16,"[Linux Variability Analysis Tools](https://github.com/DanOpcode?tab=repositories&q=+linux-variability-analysis-tools&type=&language=&sort=) (LVAT) ([1](https://code.google.com/archive/p/linux-variability-analysis-tools/), [2](https://github.com/DanOpcode/linux-variability-analysis-tools.exconfig), [3](https://github.com/DanOpcode/linux-variability-analysis-tools.fm-translation))","Steven She, Daniel Jonsson, Thorsten Berger (and [others](https://gsd.uwaterloo.ca/feature-models-in-the-wild.html))",LGPL (v3),"CLI, Scala",Distributive,"cannot transform arbitrary Boolean formulas, a total Tseitin transformation is implemented but not usable","[CNF.scala](https://github.com/DanOpcode/linux-variability-analysis-tools.fm-translation/blob/master/src/main/scala/gsd/linux/cnf/CNF.scala), [Tseitin.scala](https://github.com/DanOpcode/linux-variability-analysis-tools.fm-translation/blob/master/src/main/scala/gsd/linux/Tseitin.scala)"
2010-21,[KConfig-SAT](https://github.com/vegard/linux/tree/v5.14%2Bkconfig-sat-rc1/scripts/kconfig/satconf.c),Vegard Nossum,GPL (v2),"CLI, C",Total Tseitin,cannot transform arbitrary Boolean formulas,[satconf.c](https://github.com/vegard/linux/tree/v5.14%2Bkconfig-sat-rc1/scripts/kconfig/satconf.c)
2011-11,[bool2cnf](https://github.com/tkren/bool2cnf),"Tatsuhiro Tsuchiya, Thomas Krennwallner",FreeBSD,"CLI, C",Total Plaisted–Greenbaum (polarity-based),hardcoded variable limit (10000),[trans.c](https://github.com/tkren/bool2cnf/blob/master/trans.c)
2011-16,[KConfigReader](https://github.com/ckaestne/kconfigreader),Christian Kästner,GPL (v2),"Scala, [torte](https://github.com/ekuiter/torte/blob/main/src/docker/kconfigreader/TransformIntoDIMACS.scala)","Partial Plaisted–Greenbaum (16, NNF-based)",cannot transform arbitrary Boolean formulas (restriction lifted in torte),"[TypeChef](https://github.com/ckaestne/TypeChef), [SATFeatureExpr.scala](https://github.com/ckaestne/TypeChef/blob/master/FeatureExprLib/src/main/scala/de/fosd/typechef/featureexpr/sat/SATFeatureExpr.scala)"
2011-22,[FeatureIDE](https://github.com/FeatureIDE/FeatureIDE),"Thomas Thüm, Sebastian Krieter (and [others](https://featureide.github.io/#contact))",LGPL (v3),"GUI, Java, [torte](https://github.com/ekuiter/torte-FeatJAR/blob/main/src/main/java/TransformToDIMACSWithFeatureIDE.java)",Distributive,a total Tseitin transformation is implemented but not usable,"[CNFDistributiveLawTransformer.java](https://github.com/FeatureIDE/FeatureIDE/blob/develop/plugins/de.ovgu.featureide.fm.core/src/org/prop4j/CNFDistributiveLawTransformer.java), [TseitinConverter.java](https://github.com/FeatureIDE/FeatureIDE/blob/develop/plugins/de.ovgu.featureide.fm.core/src/de/ovgu/featureide/fm/core/conversion/TseitinConverter.java)"
2012-14,[Warthog](https://github.com/warthog-logic/warthog),"Christoph Zengler, Konstantin Grupp, Andreas Kübler",FreeBSD,Scala,"Total Tseitin, Total Plaisted–Greenbaum (NNF-based)",,"[DefinitionalCNF.scala](https://github.com/warthog-logic/warthog/blob/master/src/main/scala/org/warthog/pl/transformations/DefinitionalCNF.scala)"
2012-26,[Z3](https://github.com/Z3Prover/z3),"Nikolaj Bjørner, Lev Nachmanson, Leonardo de Moura (Microsoft Research)",MIT,"CLI, C++, Python, [JavaSMT](https://github.com/sosy-lab/java-smt), [KClause](https://github.com/paulgazz/kmax/blob/master/kmax/kclause), [FeatJAR](https://github.com/FeatureIDE/FeatJAR-formula-analysis-javasmt), torte ([1](https://github.com/ekuiter/torte/blob/main/src/docker/z3/smt2dimacs.py), [2](https://github.com/ekuiter/torte-FeatJAR/blob/main/src/main/java/TransformToSMTWithZ3.java))",Partial Tseitin (`m_distributivity_blowup` = 32),"can not only transform any Boolean formula, but also general SMT problems into CNF","[Website](https://www.microsoft.com/en-us/research/project/z3-3/), [tseitin_cnf_tactic.cpp](https://github.com/Z3Prover/z3/blob/master/src/tactic/core/tseitin_cnf_tactic.cpp), [MB:TACAS08](https://link.springer.com/chapter/10.1007/978-3-540-78800-3_24)"
2015-22,[LogicNG](https://github.com/logic-ng/LogicNG),Christoph Zengler (BooleWorks),Apache (2.0),Java,"Distributive, Partial Tseitin (`boundaryForFactorization` = 12), Partial Plaisted–Greenbaum (NNF-based), [Enumeration](https://github.com/logic-ng/LogicNG/blob/master/src/main/java/org/logicng/transformations/cnf/CanonicalCNFEnumeration.java), [BDDs](https://github.com/logic-ng/LogicNG/blob/master/src/main/java/org/logicng/transformations/cnf/BDDCNFTransformation.java)",,"[Website](https://logicng.org/), [CNFEncoder.java](https://github.com/logic-ng/LogicNG/blob/master/src/main/java/org/logicng/transformations/cnf/CNFEncoder.java), [CNFFactorization.java](https://github.com/logic-ng/LogicNG/blob/master/src/main/java/org/logicng/transformations/cnf/CNFFactorization.java), [TseitinTransformation.java](https://github.com/logic-ng/LogicNG/blob/master/src/main/java/org/logicng/transformations/cnf/TseitinTransformation.java), [PlaistedGreenbaumTransformation.java](https://github.com/logic-ng/LogicNG/blob/master/src/main/java/org/logicng/transformations/cnf/PlaistedGreenbaumTransformation.java)"
2018-26,[PySAT](https://github.com/pysathq/pysat),"Alexey Ignatiev, Joao Marques-Silva, Antonio Morgado",MIT,Python,Total Tseitin,,"[Website](https://pysathq.github.io/), [formula.py](https://github.com/pysathq/pysat/blob/master/pysat/formula.py), [ITK:SAT24](https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.SAT.2024.16)"
