Date,Commit ID,Classification,L,P,S,E,M,Description,Notes
2005-05-05,3b9fa0931dd8,Other,,,,,Y,[PATCH] Kconfig i18n support,
2005-07-28,fb7f6ff614f3,Refactoring,,Y,,,Y,[PATCH] kconfig: trivial cleanup,
2005-11-08,3370f9f0d9c7,Bug Fix,Y,Y,,,,[PATCH] kconfig: simplify symbol type parsing,
2005-11-08,3f04e7ddf47a,Bug Fix,,Y,Y,,,[PATCH] kconfig: Fix Kconfig performance bug,
2005-11-08,3f23ca2b37d1,Bug Fix,,,Y,,,[PATCH] kconfig: fix restart for choice symbols,
2005-11-08,4cf3cbe2a968,Semantic change,,,Y,,Y,[PATCH] kconfig: allow variable argumnts for range,"It could be classified as refactoring, but new functions sym_get_range_val and sym_validate_range enables a semantic change. If a symbols value falls outside its range Kconfig now adjust the value to valid range boundary. Its backwards compatible"
2005-11-08,7a88488bbc23,Refactoring,Y,Y,,,,[PATCH] kconfig: use gperf for kconfig keywords,
2005-11-08,a02f0570ae20,Refactoring,Y,Y,,,Y,[PATCH] kconfig: improve error handling in the parser,
2006-01-16,2244cbd8a918,Other,,,Y,,,kbuild: create .kernelrelease at *config step,Build change
2006-06-08,0c1822e6991a,Semantic change,,,Y,,,kconfig: allow multiple default values per symbol,
2006-06-08,669bfad90652,Semantic change & Refactoring,,,Y,,,kconfig: allow loading multiple configurations,"existing Kconfig files should parse, the way their values are stored and potentially interact with other configuration layers  is altered"
2006-06-08,ab45d190fd4a,Refactoring,,,,Y,,kconfig: create links in info window,
2006-06-08,c0e150acde52,Refactoring,,,Y,Y,,kconfig: remove SYMBOL_{YES,
2006-06-08,f001f7f89689,Error Handling,,,,,Y,kconfig: warn about leading whitespace for menu prompts,
2006-06-08,f6a88aa86027,Syntactic change,,Y,,,Y,kconfig: add symbol option config syntax,"Existing Kconfig files using option are unaffected, as they already conform to this syntax.  v2.6.17-rc6-12-gf6a88aa86027"
