dimacs_solver,language,source_lines_of_code,source_lines_of_code_extended
2clseq-2002,,,NA
unitwalk-2002,,,NA
compsat-2005,,,NA
haifasat-2005,,,NA
barcelogic-2007,,,NA
tinisat-2007,,601,NA
black_hole_sat-2011,,1119,NA
adaptg2wsat2011-2011,,,NA
penelope-2014,,,NA
rokk-2014,,,NA
yalsat-2017,,,NA
candy-2017,,,NA
parafrost-2020,,,NA
pausat-2020,,,NA
IsaSAT,,,NA
MergeSat,,,NA
sat-museum/boehm1-1992,C,764,NA
sat-museum/grasp-1997,C++,6905,NA
sat-museum/chaff-2001,C++,2625,NA
sat-museum/limmat-2002,C,6051,NA
sat-museum/berkmin-2003,NA,NA,NA
sat-museum/zchaff-2004,C++,4488,NA
sat-museum/satelite-gti-2005,C++,1209,6400
sat-museum/minisat-2006,C++,2415,NA
sat-museum/rsat-2007,C++,1952,6236
sat-museum/minisat-2008,C++,2927,NA
sat-museum/precosat-2009,C++,3777,NA
sat-museum/cryptominisat-2010,C++,14128,18694
sat-museum/glucose-2011,C++,3209,9883
sat-museum/glucose-2012,C++,3277,9951
sat-museum/lingeling-2013,C,21984,NA
sat-museum/lingeling-2014,C,26023,NA
sat-museum/abcdsat-2015,NA,NA,NA
sat-museum/maple-comsps-drup-2016,C++,3474,NA
sat-museum/maple-lcm-dist-2017,C++,4149,NA
sat-museum/maple-lcm-dist-cb-2018,C++,4306,NA
sat-museum/maple-lcm-disc-cb-dl-v3-2019,C++,4438,NA
sat-museum/kissat-2020,C,23023,NA
sat-museum/kissat-mab-2021,C,23211,NA
sat-museum/kissat-mab-hywalk-2022,C,23441,NA

source_lines_of_code obtained with
cloc .; cloc .  | grep ^C | tr -s ' ' | rev | cut -d' ' -f 1 | rev | awk '{n += $1}; END{print n}'
on the patched source code of the SAT museum (excluding tests)
source_lines_of_code_extended considers additional source code of preprocessors like SatELite if it has been distributed together with the solver
not available for two solvers (abcdsat-2015, berkmin-2003)
